rank,section,theme,review_count,frequency_share,churn_rate,priority_score,summary
1,RANKED,refund_cancellation,14,0.0372,0.9286,0.4829,"This theme captures widespread customer frustration regarding unfair cancellation policies, excessive penalty fees, and delayed or denied refunds. Users frequently complain about unhelpful automated bots and unresponsive support systems that make resolving cancelled services or recovering prepaid funds extremely difficult."
2,RANKED,safety_trust,16,0.0426,0.8125,0.4275,"This theme captures serious concerns regarding physical safety, property loss, and a lack of accountability when service providers enter customers' homes. Users report feeling unsafe with certain staff members, facing threats, intimidation, or property damage, and being met with dismissive or unhelpful customer support when seeking recourse."
3,RANKED,punctuality_noshow,30,0.0798,0.7667,0.4232,"This theme captures customer dissatisfaction regarding poor time management, last-minute service cancellations, and professionals failing to arrive within the scheduled slots. Users frequently report being left waiting for hours, experiencing uncommunicated reschedules, and dealing with unhelpful automated support when appointments fall through."
4,RANKED,customer_support,45,0.1197,0.6,0.3598,"The customer_support theme captures widespread user frustration with the heavy reliance on unhelpful AI chatbots and the complete absence of human customer service agents or direct helpline numbers. Customers frequently complain about being trapped in loops with predefined bot responses, inability to resolve warranty or service issues, and difficulty reaching a live person when problems arise during bookings."
5,RANKED,service_quality,82,0.2181,0.3659,0.292,"The service_quality theme captures customer experiences regarding the competence, professionalism, and integrity of the technicians and service providers sent to their homes. Reviews range from frustration over incomplete repairs, unaddressed appliance issues, and perceived overcharging or dishonesty, to high praise for skilled, well-mannered, and thorough professionals who deliver satisfactory results."
6,RANKED,over_priced,40,0.1064,0.45,0.2782,"The over_priced theme captures customer frustration regarding escalating service costs, hidden fees, and unexpected price increases that differ significantly from the initial estimates shown in the app. Users frequently report that technicians quote much higher rates for replacement parts or extra labor once on-site, creating a perception of unfair pricing and a lack of transparency."
7,RANKED,booking_app_ux,35,0.0931,0.3714,0.2323,"The booking_app_ux theme captures user frustrations regarding the application's interface, slot availability, and overall booking functionality. Common pain points include recurring technical glitches and error messages, rigid slot restrictions that lack flexibility for working professionals, and complex navigation required to view quotes or manage service requests."
8,RANKED,generic_praise,98,0.2606,0.0,0.1303,"The generic_praise theme captures straightforward, highly positive feedback where customers express overall satisfaction with the app's services, professional staff, and ease of use. Reviewers frequently highlight the reliability, courteous behavior of workers, and convenience of booking home services without offering specific structural critiques."
1,WATCH_LIST,competitor's_praise,3,0.008,1.0,0.504,"This theme captures customer feedback where users explicitly compare the platform unfavorably to alternative service providers or competitors. The reviews highlight specific shortcomings in punctuality, booking reliability, and service quality relative to other companies in the market."
2,WATCH_LIST,other_not_listed,3,0.008,0.3333,0.1707,"This theme captures miscellaneous feedback and general dissatisfaction that do not fit neatly into standard categories. It includes broad complaints about the overall system, general service experiences, and concerns regarding partner compensation rates."
3,WATCH_LIST,new_service_ask,6,0.016,0.0,0.008,"The 'new_service_ask' theme captures customer requests for expanding the platform's offerings to include new types of assistance, such as window cleaning or instant home maids. Additionally, it encompasses requests from users asking the company to launch its existing services in new geographic locations or cities where they are currently unavailable."
