theme,review_count,confidence,summary,cited_review_ids,cited_quotes
generic_praise,98,OK,"The generic_praise theme captures straightforward, highly positive feedback where customers express overall satisfaction with the app's services, professional staff, and ease of use. Reviewers frequently highlight the reliability, courteous behavior of workers, and convenience of booking home services without offering specific structural critiques.",ea361638-ec85-4baa-88f3-a38ab17d6074; 387f43c6-1d1b-4852-85d2-c22f3730ac1b; 3b9ff25a-74bb-4907-a64c-5c91d1a5a0f4,"Urban Company, 5 Stars, Excellent staff, Quality work, Well behaved & well trained. Never get greedy like other businesses to increase your profit margin %. Be affordable + Be approachable = Be in Business. Continue with the good work that your entire team is doing. Best regards, Happy regular customer || excellent app care for customer like this good Job 👍 your maid has been able to make All the task 6of all the work very clean behaviour is very good || Extremely helpful service. Was kinda nervous initially, but the support and staff are extremely professional, and the UI is pretty easy to navigate."
service_quality,82,OK,"The service_quality theme captures customer experiences regarding the competence, professionalism, and integrity of the technicians and service providers sent to their homes. Reviews range from frustration over incomplete repairs, unaddressed appliance issues, and perceived overcharging or dishonesty, to high praise for skilled, well-mannered, and thorough professionals who deliver satisfactory results.",2202c8eb-22e7-447d-aea1-c82f4e3c3015; e01e572a-cf62-4553-b06e-4227142c2a61; 963d3d12-5d9c-4fe5-a097-2ff5f4670dae,"Extremely disappointed with Urban Company’s service! We booked a technician to repair our washing machine, who took ₹2,000 in cash but left the job incomplete. He kept the service request “paused” and never updated the payment or provided an invoice. Despite promising to return after a week, he never came and ignored our repeated calls. When we contacted Urban Company support, they suggested rescheduling with another technician. Shockingly, they claimed to have “no record” of the ₹2,000 payment. || Very disappointing experience with Urban Company. The washing machine issue was only a wire cut by a rat, but the technician falsely claimed the control board had a short circuit. He barely touched the board with a soldering gun, ignored my repeated questions, and added an extra ₹1,700 to the bill. It felt like deliberate overcharging and dishonest service. Customers should verify the diagnosis before approving any repairs. || The employees engaged with the company are highly skilled, professional, experienced and possessing expert knowledge to provide the best services. I am associated with the Urban Company and never have any bad experience in any of the services related to Electric, Plumber, Carpenter, House Keeping etc. I hope the continuation of the best services in the future also.."
customer_support,45,OK,"The customer_support theme captures widespread user frustration with the heavy reliance on unhelpful AI chatbots and the complete absence of human customer service agents or direct helpline numbers. Customers frequently complain about being trapped in loops with predefined bot responses, inability to resolve warranty or service issues, and difficulty reaching a live person when problems arise during bookings.",068dcbca-1883-4b65-9a45-6b96dc80d378; 79a8ffc6-8700-4a73-951d-7a515ae2c0f4; 863b13b7-39f2-4c89-8649-fa2709f5a9b6,"unable to claim my account warranty. and there is no support system only an ai chatbot || worst app in case of customer care. They don't have any customer support calling. they charge and the professional also ghosts you. They cancel the booking on their own and charge 200 without any notice. This is very irritating and disgusting. I am fed up with this app. Have given this rating and description so that no one installs this app and gets irritated. || Very disappointed with NATIVE RO WATER PURIFIER BY URBAN COMPANY after-sales service. If there is a problem with the purifier, you first have to wait 24 hours. Only after 24 hours, they arrange a mandatory video call. After completing the video call, a technician may take another 24 hours to visit — potentially 48 hours in total. Major concerns: If an elderly person is alone at home and doesn’t know how to handle a video call or follow the process, they will not arrange a technician without c"
over_priced,40,OK,"The over_priced theme captures customer frustration regarding escalating service costs, hidden fees, and unexpected price increases that differ significantly from the initial estimates shown in the app. Users frequently report that technicians quote much higher rates for replacement parts or extra labor once on-site, creating a perception of unfair pricing and a lack of transparency.",e7b5577d-9d16-412c-a0c6-9321294f2143; d36e1ac8-574e-4f36-bafd-21c52ac3b0ae; 77123515-020f-45f8-8281-d22fe2903c7a,"This used to be a good app, I think they are working on philosophy of HOOKED by offering services at reasonable price initially. Now they are transitioning to milking the hooked customers. || The services are good. However, the technicians charge too much even after the service for replacing parts, whether it is needed or not. The prices they quote for replacements are much higher than the normal market rates. Not even from one technician, i faced this situation from more services in Urban clap. || Very disappointing experience. The app showed ₹49 for switch replacement, but nowhere did it mention that replacing a 16A switch would cost extra. After the service was completed and I had already paid ₹147, the technician asked me to pay an additional ₹60, making the total ₹207. The issue is not the ₹60 itself—the problem is the lack of pricing transparency. If different switch types have different charges, they should be clearly displayed in the app before booking so custo"
booking_app_ux,35,OK,"The booking_app_ux theme captures user frustrations regarding the application's interface, slot availability, and overall booking functionality. Common pain points include recurring technical glitches and error messages, rigid slot restrictions that lack flexibility for working professionals, and complex navigation required to view quotes or manage service requests.",0055f119-ee65-480b-bb25-4661de4d5417; d32eddac-79f4-4d7e-83f7-4765f5740650; 64b0b925-58da-4dea-a935-e1a01884086d,"Instahelp is absolutely useless for working professionals. No slots available at 7am to 9am. Slots mostly available only after 9am, which is very late Short duration slots not available Also booking can be done only for 1 day in advance, which is again a headache. Other apps provide way more flexibility || good products, complex app and incompetent staff booked for wall panelling, survey and assessment was done on very next day to my satisfaction. however it's over 3 weeks now and managers at UC are unable to provide me with a quotation. moreover app is not user friendly it takes lots of time to get to the latest quote shared by manager and once you reach their you only fing that this too is inaccurate. tired of explaining Swatik and now eventually give up. || ""I can log in successfully, but whenever I try to book a service, the app shows 'Something went wrong. Please update the app to latest version and retry.' I have already updated the app, reinstalled it, and even tried another phone, but the issue remains."""
punctuality_noshow,30,OK,"This theme captures customer dissatisfaction regarding poor time management, last-minute service cancellations, and professionals failing to arrive within the scheduled slots. Users frequently report being left waiting for hours, experiencing uncommunicated reschedules, and dealing with unhelpful automated support when appointments fall through.",4267045d-50f2-43b6-a3cc-6c857be59ae4; fb0d12e3-481f-422a-b2d5-072c8cdf93e2; 8913c69f-68e4-4816-9c97-d54c7e91f726,"Their professionals have a habit of cancelling at the last moment and they will not inform UC but call the customers, if they feel like it, to cancel or you can just keep waiting for them. There is no clear help and obviously they do not provide alternatives at the same slot which is very frustrating as it was selected for some reason. Recently it has become a normal practice rather than exception. || the company service is worst service the person came to my house he work his done properly acctually i booked for sofa cleaning through urban clap bt person did nt came to my house @ 10:30 AM and company reschedule the booking without inform me.company reschedule the time 12:45pm he wasted my time sooo much and I lost financial loss and time coz of urban clap company. || Insta help just took my patience to the edge 3 booking all 3 delayed by more than 30 min. i rescheduled to get it earlier, it says 1p min but gets delayed again by 45 min. Would not recommend Urban company for their insta help"
safety_trust,16,OK,"This theme captures serious concerns regarding physical safety, property loss, and a lack of accountability when service providers enter customers' homes. Users report feeling unsafe with certain staff members, facing threats, intimidation, or property damage, and being met with dismissive or unhelpful customer support when seeking recourse.",8323b673-68a4-4b1e-a8c6-fb2956138e95; 79f12257-6133-4ff9-b5f4-58c4e6a49e26; afe3f3b1-008a-4e63-bca3-7f8c63e069ae,"Lost my spectacles! Lost my trust! Cleaner, Cassidy, threw my spectacles during an UC cleaning service. Instead of accountability, I was met with repeated avoidance, unanswered questions and a refusal to provide a proper explanation. A company trusted to enter customers' homes should be transparent and responsible when things go wrong. Urban Company failed on every count! Think twice before trusting them with your home. Don't get scammed unless you're very free to deal with CS in India. || I had some unpleasantexperiences in the past and felt very unsafe with some of the staff. I raised my concerns, but I'm not sure what action, if any, was taken. The next staff member assigned to me was very good, and I've been trying to book him again, but he is never available. I've also noticed that the prices have increased by ₹200 for many time slots, and the Classic Bathroom Cleaning service has been removed. Overall, I've found the Coimbatore operations to be quite unprofessional. I am loo || their carpenter did not drill a single hole, then showed job as complete promising that he will come later to do it, then asked me to pay 500rs extra for the work and when we denied he threatened my property manager""dekh lunga"" and UC help chat did not even bother to reply for 2 days. hopeless app. just ask you to pay 200 for estimation and their plumbers and carpenters will run away to make another 200 somewhere else scamming you"
refund_cancellation,14,OK,"This theme captures widespread customer frustration regarding unfair cancellation policies, excessive penalty fees, and delayed or denied refunds. Users frequently complain about unhelpful automated bots and unresponsive support systems that make resolving cancelled services or recovering prepaid funds extremely difficult.",0ed14070-0ec7-4dfa-85e5-4c76835f5e5c; 38107473-1cf6-484a-bca1-8748d3165063; 02fb7fe0-f255-4fb2-8401-8b5833fb0728,"Useless InstaHelp service. Worker denied to work and when I try to cancel it, it charge 90% as cancellation charges. n No dedicated help and totally useless. Don't jump into this holy trap. || I have faced poor support system during a recent purchase. I ordered their high-end purifier and completed the payment on the same day. However, after a week, there was no communication or product delivery. Consequently, I canceled the order, but the cancellation process has been unduly prolonged. The support team consistently provides a standardized response: ""the process has been initiated, and you will be informed soon."" Regrettably, this ""soon"" never materializes. Don't fall in trap. || Had a terrible experience. We booked a hair cut appointment a day before. Even got a call from the person assigned confirming it on the very day. But an hour later we got to know that the appointment was cancelled without informing us and was rescheduled at a different time with a male professional. After that when we cancelled and asked for a refund, the customer services kept dodging the attempts to refund, insisting that we opted for COD, even though we already paid via UPI."
new_service_ask,6,OK,"The 'new_service_ask' theme captures customer requests for expanding the platform's offerings to include new types of assistance, such as window cleaning or instant home maids. Additionally, it encompasses requests from users asking the company to launch its existing services in new geographic locations or cities where they are currently unavailable.",d53c7ff5-b191-42be-9fef-0f50e019ccde; eb4aee7f-2dca-4818-bc2c-0afdc56277a8; 788075c6-e91d-44da-8eaf-29e7fcdff645,"hello urban company. I have been using ur services from the beginning of ur journey. thanks for all the help. u have improved alot. with alok the service u provide, can u add one more service? window cleaning experts. thanks || please provide your services in mangalore too || instant home maid required"
competitor's_praise,3,OK,"This theme captures customer feedback where users explicitly compare the platform unfavorably to alternative service providers or competitors. The reviews highlight specific shortcomings in punctuality, booking reliability, and service quality relative to other companies in the market.",4a76762e-89eb-413a-b6f3-a10290fe3ee1; f9996ecc-bb2d-4598-b590-f709fc364921,"Not better Than Snabbit. Snabbit persons are very punctual and more professional. They also do the choras work very fast.. once booked they reach to your location within 10 minutes. Urban is not even capable to meet this kind of service quality. taking whole long day to book 1 person & that too not sure if they are gonna reach to your home. doubtful and slow. this app ask for scheduled prior booking. || No broker and freelancer AC service companies provide much better services. Urban company's primary focus is money making, and not quality service delivery example - I got 4 ACs serviced and a day later, water spillage started in one of the ACs. I called the technician who visited after 5-6 follow ups after 3 days. He worked on the issue with his partner and bolted like he was in a hurry. We tested the AC for a couple of hours and the issue started again, and he never picked our calls again"
other_not_listed,3,OK,"This theme captures miscellaneous feedback and general dissatisfaction that do not fit neatly into standard categories. It includes broad complaints about the overall system, general service experiences, and concerns regarding partner compensation rates.",d7eeac66-52c3-411f-84fa-3d2c38a58810; 980ee74b-7ff3-4627-ac99-d53c4c8535ec; 9c911f12-f9c1-4067-8f1e-4ceea7c49aa0,"Urban Company's service is very bad, I don't like it, and I don't want to book again. If you'd like, let me know:What specific issue you faced during the serviceIf you want help finding an alternative local serviceI can help you share feedback or find a better option. AI responses may include mistakes. || urban company partners ko bahut kam rate me kaam karvati hai partners ki kamai bahut kam hai || very bad system"
loyalty program ask,2,LOW_CONFIDENCE_NEEDS_HUMAN_REVIEW,Only 2 review(s) support this theme -- below the minimum of 3 required for a reliable citation. Needs manual review rather than automated summarization.,,
useless review,2,LOW_CONFIDENCE_NEEDS_HUMAN_REVIEW,Only 2 review(s) support this theme -- below the minimum of 3 required for a reliable citation. Needs manual review rather than automated summarization.,,
